week,cases,deaths,state
03,1,0,california
04,16,0,california
05,42,0,california
06,48,0,california
07,54,0,california
08,138,0,california
09,419,4,california
10,1618,24,california
11,6585,119,california
12,24459,503,california
13,69737,1527,california
14,132124,3464,california
15,188891,6231,california
16,262315,9999,california
17,340914,13778,california
18,424961,17339,california
19,512828,20990,california
20,604519,24630,california
21,714773,27818,california
22,845819,30971,california
23,985096,33962,california
24,1143959,36973,california
25,1370248,40027,california
26,673103,17999,california
