week,year,flu_cases,state
3,2020,5378,California
4,2020,5835,California
5,2020,6118,California
6,2020,5778,California
7,2020,5626,California
8,2020,4833,California
9,2020,5115,California
10,2020,5099,California
11,2020,5073,California
12,2020,2944,California
13,2020,1736,California
14,2020,1162,California
15,2020,842,California
16,2020,784,California
17,2020,681,California
18,2020,470,California
19,2020,436,California
20,2020,399,California
21,2020,354,California
22,2020,257,California
23,2020,270,California
24,2020,277,California
25,2020,180,California
26,2020,88,California
