REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,California,2019,40,1776,18,10,1.58,1.01,0.56
States,California,2019,41,1887,26,11,1.96,1.38,0.58
States,California,2019,42,1995,27,14,2.06,1.35,0.7
States,California,2019,43,1964,24,33,2.9,1.22,1.68
States,California,2019,44,2061,44,56,4.85,2.13,2.72
States,California,2019,45,2603,125,135,9.99,4.8,5.19
States,California,2019,46,2887,126,247,12.92,4.36,8.56
States,California,2019,47,3091,133,298,13.94,4.3,9.64
States,California,2019,48,2819,150,317,16.57,5.32,11.25
States,California,2019,49,3460,198,424,17.98,5.72,12.25
States,California,2019,50,3739,245,520,20.46,6.55,13.91
States,California,2019,51,3885,418,771,30.6,10.76,19.85
States,California,2019,52,4042,427,600,25.41,10.56,14.84
States,California,2020,1,4396,580,606,26.98,13.19,13.79
States,California,2020,2,4833,736,602,27.68,15.23,12.46
States,California,2020,3,5378,1043,666,31.78,19.39,12.38
States,California,2020,4,5835,1254,640,32.46,21.49,10.97
States,California,2020,5,6118,1328,553,30.75,21.71,9.04
States,California,2020,6,5778,1161,448,27.85,20.09,7.75
States,California,2020,7,5626,1238,400,29.11,22,7.11
States,California,2020,8,4833,1001,329,27.52,20.71,6.81
States,California,2020,9,5115,951,303,24.52,18.59,5.92
States,California,2020,10,5099,764,259,20.06,14.98,5.08
States,California,2020,11,5073,399,106,9.95,7.87,2.09
States,California,2020,12,2944,67,20,2.96,2.28,0.68
States,California,2020,13,1736,10,3,0.75,0.58,0.17
States,California,2020,14,1162,6,3,0.77,0.52,0.26
States,California,2020,15,842,1,2,0.36,0.12,0.24
States,California,2020,16,784,0,0,0,0,0
States,California,2020,17,681,1,0,0.15,0.15,0
States,California,2020,18,470,0,0,0,0,0
States,California,2020,19,436,0,0,0,0,0
States,California,2020,20,399,1,0,0.25,0.25,0
States,California,2020,21,354,0,0,0,0,0
States,California,2020,22,257,0,0,0,0,0
States,California,2020,23,270,0,0,0,0,0
States,California,2020,24,277,0,0,0,0,0
States,California,2020,25,180,0,0,0,0,0
States,California,2020,26,88,0,0,0,0,0
